gene_id,infection_stage,infection,stage
SRR18303107,Mid_T35,Mid,T35
SRR18303634,Mid_T35,Mid,T35
SRR18303008,Controls_T00,Controls,T00
SRR18303011,Mid_T35,Mid,T35
SRR18303080,Controls_T00,Controls,T00
SRR18303180,Controls_T00,Controls,T00
SRR18303189,Controls_T00,Controls,T00
SRR18303195,Controls_T00,Controls,T00
SRR18303458,Mid_T35,Mid,T35
SRR18303562,Mid_T35,Mid,T35
SRR18302738,Controls_T00,Controls,T00
SRR18303602,Controls_T00,Controls,T00
SRR18302708,Controls_T00,Controls,T00
SRR18303603,Mid_T35,Mid,T35
SRR18303610,Controls_T00,Controls,T00
SRR18303611,Mid_T35,Mid,T35
SRR18303657,Mid_T35,Mid,T35
SRR18303662,Controls_T00,Controls,T00
SRR18303663,Mid_T35,Mid,T35
SRR18303668,Controls_T00,Controls,T00
SRR18303669,Mid_T35,Mid,T35
SRR18302739,Mid_T35,Mid,T35
SRR18303680,Controls_T00,Controls,T00
SRR18303718,Controls_T00,Controls,T00
SRR18303681,Mid_T35,Mid,T35
SRR18303686,Controls_T00,Controls,T00
SRR18303687,Mid_T35,Mid,T35
SRR18303734,Controls_T00,Controls,T00
SRR18303761,Controls_T00,Controls,T00
SRR18303819,Mid_T35,Mid,T35
SRR18303834,Controls_T00,Controls,T00
SRR18303970,Controls_T00,Controls,T00
SRR18302745,Controls_T00,Controls,T00
SRR18304013,Mid_T35,Mid,T35
SRR18303719,Mid_T35,Mid,T35
SRR18302752,Controls_T00,Controls,T00
SRR18302780,Controls_T00,Controls,T00
SRR18302781,Mid_T35,Mid,T35
SRR18302873,Controls_T00,Controls,T00
SRR18302948,Mid_T35,Mid,T35
SRR18302673,Post_91,Post,91
SRR18302709,Mid_T35,Mid,T35
SRR18302711,Post_91,Post,91
SRR18302721,Mid_T35,Mid,T35
SRR18302725,Post_91,Post,91
SRR18302764,Controls_T00,Controls,T00
SRR18302765,Mid_T35,Mid,T35
SRR18303113,Mid_T35,Mid,T35
SRR18302767,Post_77,Post,77
SRR18303198,Post_63,Post,63
SRR18303266,Post_91,Post,91
SRR18303280,Post_56,Post,56
SRR18303608,Post_77,Post,77
SRR18303615,Post_77,Post,77
SRR18303667,Post_63,Post,63
SRR18303674,Post_77,Post,77
SRR18303685,Post_63,Post,63
SRR18302743,Post_77,Post,77
SRR18303117,Post_77,Post,77
SRR18303691,Post_77,Post,77
SRR18303972,Post_56,Post,56
SRR18302750,Post_77,Post,77
SRR18302757,Post_91,Post,91
SRR18302971,Post_56,Post,56
SRR18303015,Post_63,Post,63
SRR18303086,Post_77,Post,77
SRR18303184,Post_77,Post,77
SRR18303194,Post_63,Post,63
SRR18303196,Mid_T35,Mid,T35
SRR18303119,Mid_T35,Mid,T35
SRR18303223,Post_63,Post,63
SRR18303453,Post_56,Post,56
SRR18303463,Post_56,Post,56
SRR18303567,Post_91,Post,91
SRR18303639,Post_77,Post,77
SRR18303645,Post_77,Post,77
SRR18303652,Post_77,Post,77
SRR18303661,Post_77,Post,77
SRR18303721,Post_77,Post,77
SRR18302746,Mid_T35,Mid,T35
SRR18303124,Post_77,Post,77
SRR18303871,Mid_T35,Mid,T35
SRR18304019,Post_91,Post,91
SRR18302753,Mid_T35,Mid,T35
SRR18302783,Post_77,Post,77
SRR18302808,Mid_T35,Mid,T35
SRR18303081,Mid_T35,Mid,T35
SRR18303105,Post_84,Post,84
SRR18303181,Mid_T35,Mid,T35
SRR18303190,Mid_T35,Mid,T35
SRR18304012,Controls_T00,Controls,T00
SRR18303428,Mid_T35,Mid,T35
SRR18303112,Controls_T00,Controls,T00
SRR18303450,Controls_T00,Controls,T00
SRR18303457,Controls_T00,Controls,T00
SRR18303561,Controls_T00,Controls,T00
SRR18303656,Controls_T00,Controls,T00
SRR18303735,Mid_T35,Mid,T35
SRR18303736,Post_70,Post,70
SRR18302393,Mid_T35,Mid,T35
SRR18302934,Post_56,Post,56
SRR18302941,Post_56,Post,56
SRR18303617,Controls_T00,Controls,T00
SRR18303098,Controls_T00,Controls,T00
SRR18303100,Mid_T35,Mid,T35
SRR18303106,Controls_T00,Controls,T00
SRR18303111,Post_56,Post,56
SRR18303118,Controls_T00,Controls,T00
SRR18302396,Controls_T00,Controls,T00
SRR18303427,Controls_T00,Controls,T00
SRR18303431,Post_56,Post,56
SRR18303633,Controls_T00,Controls,T00
SRR18303640,Controls_T00,Controls,T00
SRR18303618,Mid_T35,Mid,T35
SRR18303641,Mid_T35,Mid,T35
SRR18302665,Controls_T00,Controls,T00
SRR18303646,Controls_T00,Controls,T00
SRR18303647,Mid_T35,Mid,T35
SRR18303724,Controls_T00,Controls,T00
SRR18303727,Mid_T35,Mid,T35
SRR18303729,Post_56,Post,56
SRR18303785,Controls_T00,Controls,T00
SRR18303801,Mid_T35,Mid,T35
SRR18303813,Mid_T35,Mid,T35
SRR18303622,Post_63,Post,63
SRR18302666,Mid_T35,Mid,T35
SRR18303866,Mid_T35,Mid,T35
SRR18303915,Controls_T00,Controls,T00
SRR18303917,Post_56,Post,56
SRR18303925,Controls_T00,Controls,T00
SRR18303926,Mid_T35,Mid,T35
SRR18303930,Post_56,Post,56
SRR18302720,Controls_T00,Controls,T00
SRR18302865,Controls_T00,Controls,T00
SRR18302423,Mid_T35,Mid,T35
